,LHS,RHS,support,confidence,coverage,lift,count
814,{TITANIUM DIOXIDE},{MANNITOL},0.14,0.17,0.84,0.96,58
815,{INDIGO CARMINE},{HYDROXYPROPYLCELLULOSE},0.03,0.22,0.16,1.02,14
816,{HYDROXYPROPYLCELLULOSE},{INDIGO CARMINE},0.03,0.16,0.21,1.02,14
817,{INDIGO CARMINE},{CROSPOVIDONE},0.03,0.2,0.16,0.9,13
818,{CROSPOVIDONE},{INDIGO CARMINE},0.03,0.14,0.23,0.9,13
819,{INDIGO CARMINE},{POLYVINYL ALCOHOL},0.03,0.22,0.16,0.86,14
820,{POLYVINYL ALCOHOL},{INDIGO CARMINE},0.03,0.13,0.25,0.86,14
821,{INDIGO CARMINE},{POVIDONE},0.05,0.31,0.16,1.04,20
822,{POVIDONE},{INDIGO CARMINE},0.05,0.16,0.3,1.04,20
823,{INDIGO CARMINE},{CROSCARMELLOSE SODIUM},0.08,0.52,0.16,1.16,33
824,{CROSCARMELLOSE SODIUM},{INDIGO CARMINE},0.08,0.18,0.44,1.16,33
825,{INDIGO CARMINE},"{SILICON DIOXIDE, ANHYDROUS}",0.06,0.41,0.16,0.93,26
826,"{SILICON DIOXIDE, ANHYDROUS}",{INDIGO CARMINE},0.06,0.14,0.44,0.93,26
827,{INDIGO CARMINE},{LACTOSE MONOHYDRATE},0.09,0.58,0.16,1.28,37
828,{LACTOSE MONOHYDRATE},{INDIGO CARMINE},0.09,0.2,0.45,1.28,37
829,{INDIGO CARMINE},{TALC},0.08,0.53,0.16,1.0,34
830,{TALC},{INDIGO CARMINE},0.08,0.16,0.53,1.0,34
831,{INDIGO CARMINE},{HYPROMELLOSE},0.1,0.66,0.16,1.18,42
832,{HYPROMELLOSE},{INDIGO CARMINE},0.1,0.18,0.56,1.18,42
833,{INDIGO CARMINE},{IRON OXIDE},0.08,0.48,0.16,0.8,31
834,{IRON OXIDE},{INDIGO CARMINE},0.08,0.12,0.61,0.8,31
835,{INDIGO CARMINE},{POLYETHYLENE GLYCOL},0.12,0.77,0.16,1.17,49
836,{POLYETHYLENE GLYCOL},{INDIGO CARMINE},0.12,0.18,0.66,1.17,49
837,{INDIGO CARMINE},{MICROCRYSTALLINE CELLULOSE},0.13,0.84,0.16,1.08,54
838,{MICROCRYSTALLINE CELLULOSE},{INDIGO CARMINE},0.13,0.17,0.78,1.08,54
839,{INDIGO CARMINE},{MAGNESIUM STEARATE},0.13,0.86,0.16,0.99,55
840,{MAGNESIUM STEARATE},{INDIGO CARMINE},0.13,0.15,0.86,0.99,55
841,{INDIGO CARMINE},{TITANIUM DIOXIDE},0.15,0.95,0.16,1.13,61
842,{TITANIUM DIOXIDE},{INDIGO CARMINE},0.15,0.18,0.84,1.13,61
843,{HYDROXYPROPYLCELLULOSE},{CROSPOVIDONE},0.05,0.22,0.21,0.95,19
844,{CROSPOVIDONE},{HYDROXYPROPYLCELLULOSE},0.05,0.2,0.23,0.95,19
845,{HYDROXYPROPYLCELLULOSE},{POLYVINYL ALCOHOL},0.04,0.2,0.21,0.81,18
846,{POLYVINYL ALCOHOL},{HYDROXYPROPYLCELLULOSE},0.04,0.17,0.25,0.81,18
847,{HYDROXYPROPYLCELLULOSE},{POVIDONE},0.02,0.08,0.21,0.27,7
848,{POVIDONE},{HYDROXYPROPYLCELLULOSE},0.02,0.06,0.3,0.27,7
849,{HYDROXYPROPYLCELLULOSE},{CROSCARMELLOSE SODIUM},0.09,0.42,0.21,0.95,37
850,{CROSCARMELLOSE SODIUM},{HYDROXYPROPYLCELLULOSE},0.09,0.2,0.44,0.95,37
851,{HYDROXYPROPYLCELLULOSE},"{SILICON DIOXIDE, ANHYDROUS}",0.07,0.32,0.21,0.73,28
852,"{SILICON DIOXIDE, ANHYDROUS}",{HYDROXYPROPYLCELLULOSE},0.07,0.16,0.44,0.73,28
853,{HYDROXYPROPYLCELLULOSE},{LACTOSE MONOHYDRATE},0.11,0.5,0.21,1.1,44
854,{LACTOSE MONOHYDRATE},{HYDROXYPROPYLCELLULOSE},0.11,0.24,0.45,1.1,44
855,{HYDROXYPROPYLCELLULOSE},{TALC},0.12,0.56,0.21,1.04,49
856,{TALC},{HYDROXYPROPYLCELLULOSE},0.12,0.22,0.53,1.04,49
857,{HYDROXYPROPYLCELLULOSE},{HYPROMELLOSE},0.12,0.58,0.21,1.04,51
858,{HYPROMELLOSE},{HYDROXYPROPYLCELLULOSE},0.12,0.22,0.56,1.04,51
859,{HYDROXYPROPYLCELLULOSE},{IRON OXIDE},0.15,0.7,0.21,1.16,62
860,{IRON OXIDE},{HYDROXYPROPYLCELLULOSE},0.15,0.25,0.61,1.16,62
861,{HYDROXYPROPYLCELLULOSE},{POLYETHYLENE GLYCOL},0.13,0.6,0.21,0.92,53
862,{POLYETHYLENE GLYCOL},{HYDROXYPROPYLCELLULOSE},0.13,0.2,0.66,0.92,53
863,{HYDROXYPROPYLCELLULOSE},{MICROCRYSTALLINE CELLULOSE},0.15,0.69,0.21,0.89,61
864,{MICROCRYSTALLINE CELLULOSE},{HYDROXYPROPYLCELLULOSE},0.15,0.19,0.78,0.89,61
865,{HYDROXYPROPYLCELLULOSE},{MAGNESIUM STEARATE},0.18,0.86,0.21,1.0,76
866,{MAGNESIUM STEARATE},{HYDROXYPROPYLCELLULOSE},0.18,0.21,0.86,1.0,76
867,{HYDROXYPROPYLCELLULOSE},{TITANIUM DIOXIDE},0.18,0.84,0.21,1.0,74
868,{TITANIUM DIOXIDE},{HYDROXYPROPYLCELLULOSE},0.18,0.21,0.84,1.0,74
869,{CROSPOVIDONE},{POLYVINYL ALCOHOL},0.05,0.23,0.23,0.89,21
870,{POLYVINYL ALCOHOL},{CROSPOVIDONE},0.05,0.2,0.25,0.89,21
871,{CROSPOVIDONE},{POVIDONE},0.07,0.29,0.23,0.97,27
872,{POVIDONE},{CROSPOVIDONE},0.07,0.22,0.3,0.97,27
873,{CROSPOVIDONE},"{SILICON DIOXIDE, ANHYDROUS}",0.13,0.59,0.23,1.35,55
874,"{SILICON DIOXIDE, ANHYDROUS}",{CROSPOVIDONE},0.13,0.31,0.44,1.35,55
875,{CROSPOVIDONE},{LACTOSE MONOHYDRATE},0.09,0.42,0.23,0.93,39
876,{LACTOSE MONOHYDRATE},{CROSPOVIDONE},0.09,0.21,0.45,0.93,39
877,{CROSPOVIDONE},{TALC},0.12,0.55,0.23,1.03,51
878,{TALC},{CROSPOVIDONE},0.12,0.23,0.53,1.03,51
879,{CROSPOVIDONE},{HYPROMELLOSE},0.15,0.68,0.23,1.22,63
880,{HYPROMELLOSE},{CROSPOVIDONE},0.15,0.28,0.56,1.22,63
881,{CROSPOVIDONE},{IRON OXIDE},0.14,0.6,0.23,0.99,56
882,{IRON OXIDE},{CROSPOVIDONE},0.14,0.22,0.61,0.99,56
883,{CROSPOVIDONE},{POLYETHYLENE GLYCOL},0.16,0.71,0.23,1.08,66
884,{POLYETHYLENE GLYCOL},{CROSPOVIDONE},0.16,0.24,0.66,1.08,66
885,{CROSPOVIDONE},{MICROCRYSTALLINE CELLULOSE},0.18,0.81,0.23,1.04,75
886,{MICROCRYSTALLINE CELLULOSE},{CROSPOVIDONE},0.18,0.23,0.78,1.04,75
887,{CROSPOVIDONE},{MAGNESIUM STEARATE},0.19,0.85,0.23,0.98,79
888,{MAGNESIUM STEARATE},{CROSPOVIDONE},0.19,0.22,0.86,0.98,79
889,{CROSPOVIDONE},{TITANIUM DIOXIDE},0.2,0.89,0.23,1.06,83
890,{TITANIUM DIOXIDE},{CROSPOVIDONE},0.2,0.24,0.84,1.06,83
891,{POLYVINYL ALCOHOL},{POVIDONE},0.05,0.21,0.25,0.71,22
892,{POVIDONE},{POLYVINYL ALCOHOL},0.05,0.18,0.3,0.71,22
893,{POLYVINYL ALCOHOL},{CROSCARMELLOSE SODIUM},0.15,0.58,0.25,1.3,60
894,{CROSCARMELLOSE SODIUM},{POLYVINYL ALCOHOL},0.15,0.33,0.44,1.3,60
895,{POLYVINYL ALCOHOL},"{SILICON DIOXIDE, ANHYDROUS}",0.12,0.49,0.25,1.12,51
896,"{SILICON DIOXIDE, ANHYDROUS}",{POLYVINYL ALCOHOL},0.12,0.28,0.44,1.12,51
897,{POLYVINYL ALCOHOL},{LACTOSE MONOHYDRATE},0.09,0.36,0.25,0.79,37
898,{LACTOSE MONOHYDRATE},{POLYVINYL ALCOHOL},0.09,0.2,0.45,0.79,37
899,{POLYVINYL ALCOHOL},{TALC},0.25,1.0,0.25,1.88,104
900,{TALC},{POLYVINYL ALCOHOL},0.25,0.47,0.53,1.88,104
901,{POLYVINYL ALCOHOL},{HYPROMELLOSE},0.02,0.09,0.25,0.16,9
902,{HYPROMELLOSE},{POLYVINYL ALCOHOL},0.02,0.04,0.56,0.16,9
903,{POLYVINYL ALCOHOL},{IRON OXIDE},0.19,0.74,0.25,1.22,77
